first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,,,,,,Rank,Value
Griswold,Kelsall,Male,55,19-12-1993,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,0.43,0.5375,0.5375,0.5375,52,52,1.39453125
Odessa,Mc Andrew,Female,97,01-12-1981,,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,0.54,0.54,0.675,0.57375,54,54,1.38125
Lavena,Seekings,Female,87,25-03-1995,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,0.78,0.78,0.975,0.82875,54,54,1.38125
Martelle,Tuppeny,Female,52,03-02-1981,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,0.62,0.62,0.775,0.65875,54,54,1.38125
Briant,Ladley,Male,75,17-12-1979,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,0.45,0.45,0.45,0.3825,57,57,1.375
Marylou,Kirkup,Female,51,31-10-1972,VP Product Management,n/a,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,0.89,0.89,1.1125,0.945625,57,57,1.375
Whittaker,,Male,64,29-07-1966,Media Manager III,n/a,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,0.83,1.0375,1.0375,0.881875,57,57,1.375
Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,0.58,0.58,0.58,0.493,57,57,1.375
Lorrie,Antonelli,Male,47,11-02-1983,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,0.53,0.6625,0.6625,0.6625,57,57,1.375
Jedediah,Kedie,Male,31,29-12-1971,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,0.43,0.5375,0.671875,0.57109375,62,62,1.36796875
Kaine,Smallcombe,Male,59,06-02-1942,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,0.43,0.43,0.5375,0.5375,62,62,1.36796875
Loise,Iltchev,Female,70,18-03-1967,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,0.68,0.85,0.85,0.85,62,62,1.36796875
Cristen,Maroney,Female,22,21-11-1999,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,0.46,0.575,0.575,0.575,65,65,1.3625
Dorothy,Barnardo,Female,58,01-02-1983,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,1.07,1.07,1.07,1.07,65,65,1.3625
Rosmunda,Duxbarry,Female,69,20-07-1996,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,0.89,1.1125,1.390625,1.390625,65,65,1.3625
Rozamond,Riha,Female,54,07-10-1984,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,0.95,1.1875,1.1875,1.1875,68,68,1.3546875
Gunner,Petti,Male,62,08-06-1999,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,0.54,0.675,0.675,0.675,68,68,1.3546875
Vivienne,Crayden,Female,82,18-09-1988,Associate Professor,n/a,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,0.84,1.05,1.3125,1.3125,68,68,1.3546875
Sherilyn,Canero,Female,11,03-08-1996,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,0.6,0.75,0.75,0.75,68,68,1.3546875
Bessie,Roscow,Female,78,04-08-1994,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,0.67,0.67,0.8375,0.711875,72,72,1.35
Kevina,Ferandez,Female,73,21-09-1999,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,0.57,0.57,0.7125,0.7125,72,72,1.35
Yancy,Clementet,Male,5,16-02-1968,Mechanical Systems Engineer,n/a,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,0.93,0.93,1.1625,1.1625,72,72,1.35
Mabelle,Wellbelove,Female,76,21-04-1958,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,0.95,1.1875,1.484375,1.484375,72,72,1.35
Hasheem,Groucock,Male,98,17-09-1974,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,0.66,0.825,1.03125,1.03125,72,72,1.35
Tobias,Woodhams,Male,0,15-04-1961,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,0.56,0.56,0.7,0.595,77,77,1.34140625
Glennis,Flintoff,Female,36,22-10-1956,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,0.51,0.6375,0.6375,0.6375,78,78,1.3375
Chanda,Mensler,Female,15,14-01-1972,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,0.99,1.2375,1.546875,1.31484375,78,78,1.3375
Katheryn,Kinner,Female,15,28-11-1973,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,1.04,1.04,1.04,1.04,78,78,1.3375
Sumner,Carrivick,Male,53,09-04-1995,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,0.86,0.86,1.075,0.91375,78,78,1.3375
Valerie,Pickover,Female,34,08-09-1965,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,0.62,0.62,0.62,0.527,78,78,1.3375
Esther,Rooson,Female,14,22-02-1981,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,0.79,0.79,0.9875,0.839375,78,78,1.3375
Gardie,Crellim,Male,58,12-09-1975,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,0.68,0.68,0.85,0.85,84,84,1.328125
Sean,O'Loughlin,Male,48,22-03-1961,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,0.81,1.0125,1.265625,1.265625,85,85,1.325
Pietra,Buckleigh,Female,9,29-04-1949,Engineer III,n/a,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,0.81,0.81,1.0125,1.0125,85,85,1.325
Marysa,Rouchy,Female,8,15-02-1999,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,0.7,0.7,0.875,0.875,85,85,1.325
Kahaleel,,Male,5,01-11-1942,GIS Technical Architect,n/a,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,1,1,1.25,1.25,88,88,1.31484375
Ossie,Midden,Male,49,10-02-1950,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,0.76,0.95,1.1875,1.009375,89,89,1.3125
Sid,Carlone,Male,24,18-08-1971,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,0.54,0.54,0.54,0.54,89,89,1.3125
Ludovico,Juster,Male,93,19-04-1992,Environmental Specialist,n/a,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,1.07,1.07,1.3375,1.3375,89,89,1.3125
Patricia,Everix,Female,34,19-02-1978,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,0.82,0.82,0.82,0.697,89,89,1.3125
Andromache,Bonafacino,Female,84,01-09-1977,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,1.02,1.02,1.275,1.08375,89,89,1.3125
Levy,Abramamov,Male,94,21-09-1952,Teacher,n/a,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,0.87,1.0875,1.359375,1.359375,89,89,1.3125
Nobe,McAughtry,Male,25,14-12-1978,,n/a,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,0.6,0.6,0.6,0.51,89,89,1.3125
Jehu,Prestedge,Male,91,20-10-1999,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,0.95,1.1875,1.484375,1.484375,96,96,1.3
Symon,Mawne,Male,18,08-02-1943,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,0.46,0.575,0.575,0.48875,96,96,1.3
Karlik,Penchen,Male,60,31-10-1994,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,0.49,0.49,0.49,0.4165,96,96,1.3
Bengt,Bilson,Male,26,02-11-1972,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,0.73,0.73,0.9125,0.9125,99,99,1.296875
Evangelin,Boc,Female,30,09-05-2000,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,0.62,0.775,0.775,0.775,99,99,1.296875
Hanny,Treven,Female,84,22-01-1991,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,0.41,0.41,0.5125,0.435625,99,99,1.296875
Gina,Mallon,Female,56,11-02-1994,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,0.65,0.65,0.65,0.5525,102,102,1.28828125
Reynold,Elman,Male,19,18-01-1940,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,0.44,0.44,0.44,0.374,102,102,1.28828125
Flossy,Concannon,Female,64,20-10-1980,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,0.59,0.59,0.59,0.59,104,104,1.2875
Cristen,Wiltshire,Female,59,20-10-1961,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,0.88,1.1,1.1,1.1,104,104,1.2875
Griffith,Escot,Male,50,23-10-1946,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,0.88,1.1,1.1,0.935,104,104,1.2875
Jamie,Jiruca,Female,21,16-06-1963,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,1.1,1.1,1.375,1.16875,104,104,1.2875
Lyon,Brittan,Male,14,23-04-1972,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,0.62,0.62,0.62,0.62,104,104,1.2875
Aridatha,Sephton,Female,95,22-10-1961,Human Resources Assistant II,n/a,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,0.99,0.99,1.2375,1.051875,104,104,1.2875
Michal,Bryan,Female,1,09-11-1969,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,0.46,0.575,0.575,0.48875,104,104,1.2875
Franciska,Stigell,Female,95,15-11-1968,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,0.84,1.05,1.3125,1.115625,111,111,1.28125
Jordan,Clampe,Male,37,09-12-1939,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,1.08,1.35,1.35,1.1475,111,111,1.28125
David,Napoleon,Male,72,05-11-1961,Structural Engineer,n/a,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,1.08,1.08,1.35,1.35,111,111,1.28125
Meriel,Tapp,Female,0,13-08-1995,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,0.94,0.94,0.94,0.799,114,114,1.275
Dolley,Starmont,Female,53,08-11-1977,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,0.56,0.56,0.56,0.56,114,114,1.275
Frederik,Milan,Male,45,13-11-1997,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,0.9,0.9,0.9,0.765,114,114,1.275
Rollo,Louedey,Male,64,09-07-1946,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,0.88,1.1,1.375,1.375,114,114,1.275
Jerrine,Cosbey,Female,21,11-01-1978,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,1.08,1.35,1.6875,1.6875,114,114,1.275
Roddy,Rubinshtein,Male,37,08-10-1987,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,0.73,0.9125,0.9125,0.775625,114,114,1.275
Viki,Coutts,Female,2,14-12-1952,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,1.01,1.2625,1.2625,1.073125,120,120,1.2625
Ashby,Bispham,Male,71,29-10-1981,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,0.91,0.91,0.91,0.91,120,120,1.2625
Alexander,Broadbent,Male,57,28-05-1997,Desktop Support Technician,n/a,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,0.42,0.42,0.525,0.44625,120,120,1.2625
Teddy,Lagadu,Female,86,20-07-1969,Design Engineer,n/a,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,0.42,0.42,0.525,0.525,120,120,1.2625
Peria,Rantoull,Female,3,13-03-1975,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,0.5,0.5,0.5,0.425,120,120,1.2625
Ludvig,Andren,Male,44,22-02-1941,Media Manager III,n/a,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,0.76,0.95,0.95,0.95,125,125,1.26171875
Elsworth,Abbitt,Male,71,08-02-1956,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,0.98,1.225,1.225,1.04125,125,125,1.26171875
Rebeca,Aggas,Female,66,27-02-1953,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,0.46,0.46,0.46,0.46,127,127,1.25
Ricki,Dobrowski,Male,13,10-03-1975,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,0.79,0.9875,0.9875,0.839375,127,127,1.25
Georgetta,Lovett,Female,42,02-02-1940,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,0.94,0.94,0.94,0.799,127,127,1.25
Bambi,Cogger,Female,51,12-07-1990,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,0.75,0.9375,0.9375,0.9375,127,127,1.25
Aurie,Rhead,Female,78,28-07-1962,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,0.8,1,1,1,127,127,1.25
Farris,Skettles,Male,38,03-07-1965,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,0.45,0.5625,0.5625,0.478125,132,132,1.2484375
Sharline,Abyss,Female,11,18-03-1960,,n/a,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,0.93,1.1625,1.1625,0.988125,133,133,1.2375
Nowell,Preddy,Male,29,23-07-1985,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,0.97,0.97,1.2125,1.030625,133,133,1.2375
Lacy,Drance,Female,27,05-02-1978,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,0.65,0.8125,0.8125,0.8125,133,133,1.2375
Padraig,Snel,Male,89,08-11-1970,Staff Accountant II,n/a,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,0.43,0.43,0.5375,0.456875,133,133,1.2375
Malorie,Votier,Female,90,29-05-1990,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,0.98,0.98,1.225,1.225,133,133,1.2375
Shepperd,Ricards,Male,28,27-09-1967,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,0.89,1.1125,1.1125,0.945625,133,133,1.2375
Daryl,Pauncefort,Female,12,18-06-1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,0.92,1.15,1.15,0.9775,133,133,1.2375
Norina,Blakeway,Female,60,11-02-1980,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,0.45,0.5625,0.5625,0.478125,133,133,1.2375
